Freq.	V(out)
7.58577575029180e+001	(2.25457831990021e-002dB,-8.80996726072280e-001°)
7.76247116628688e+001	(2.40018685876810e-002dB,-9.01629431574611e-001°)
7.94328234724277e+001	(2.55267572297442e-002dB,-9.22750753216348e-001°)
8.12830516164095e+001	(2.71237091443406e-002dB,-9.44372649882848e-001°)
8.31763771102667e+001	(2.87961396787865e-002dB,-9.66507400822182e-001°)
8.51138038202372e+001	(3.05476269929210e-002dB,-9.89167616158630e-001°)
8.70963589956076e+001	(3.23819199121306e-002dB,-1.01236624787679e+000°)
8.91250938133741e+001	(3.43029461681188e-002dB,-1.03611660130434e+000°)
9.12010839355905e+001	(3.63148210472199e-002dB,-1.06043234712342e+000°)
9.33254300796986e+001	(3.84218564675644e-002dB,-1.08532753394314e+000°)
9.54992586021431e+001	(4.06285705071758e-002dB,-1.11081660146759e+000°)
9.77237220955805e+001	(4.29396974066910e-002dB,-1.13691439429623e+000°)
9.99999999999995e+001	(4.53601980715055e-002dB,-1.16363617639644e+000°)
1.02329299228075e+002	(4.78952710997050e-002dB,-1.19099764629118e+000°)
1.04712854805089e+002	(5.05503643635185e-002dB,-1.21901495300683e+000°)
1.07151930523760e+002	(5.33311871737894e-002dB,-1.24770471283162e+000°)
1.09647819614318e+002	(5.62437230585542e-002dB,-1.27708402693629e+000°)
1.12201845430196e+002	(5.92942431887098e-002dB,-1.30717049991480e+000°)
1.14815362149688e+002	(6.24893204858982e-002dB,-1.33798225930616e+000°)
1.17489755493952e+002	(6.58358444492420e-002dB,-1.36953797616345e+000°)
1.20226443461741e+002	(6.93410367406488e-002dB,-1.40185688674080e+000°)
1.23026877081237e+002	(7.30124675699960e-002dB,-1.43495881537570e+000°)
1.25892541179416e+002	(7.68580729246851e-002dB,-1.46886419864887e+000°)
1.28824955169313e+002	(8.08861726903298e-002dB,-1.50359411091084e+000°)
1.31825673855640e+002	(8.51054897125175e-002dB,-1.53917029127277e+000°)
1.34896288259165e+002	(8.95251698529167e-002dB,-1.57561517216402e+000°)
1.38038426460288e+002	(9.41548030958991e-002dB,-1.61295190957047e+000°)
1.41253754462275e+002	(9.90044457658066e-002dB,-1.65120441507549e+000°)
1.44543977074592e+002	(1.04084643919111e-001dB,-1.69039738983471e+000°)
1.47910838816820e+002	(1.09406457979354e-001dB,-1.73055636062821e+000°)
1.51356124843620e+002	(1.14981488687868e-001dB,-1.77170771814502e+000°)
1.54881661891247e+002	(1.20821904447654e-001dB,-1.81387875766832e+000°)
1.58489319246110e+002	(1.26940470143607e-001dB,-1.85709772234369e+000°)
1.62181009735892e+002	(1.33350577527514e-001dB,-1.90139384922831e+000°)
1.65958690743755e+002	(1.40066277262561e-001dB,-1.94679741833775e+000°)
1.69824365246173e+002	(1.47102312728859e-001dB,-1.99333980492418e+000°)
1.73780082874936e+002	(1.54474155698643e-001dB,-2.04105353524146e+000°)
1.77827941003891e+002	(1.62198043997430e-001dB,-2.08997234607593e+000°)
1.81970085860997e+002	(1.70291021276205e-001dB,-2.14013124834579e+000°)
1.86208713666286e+002	(1.78770979028595e-001dB,-2.19156659510137e+000°)
1.90546071796323e+002	(1.87656700997336e-001dB,-2.24431615428733e+000°)
1.94984459975803e+002	(1.96967910124921e-001dB,-2.29841918666277e+000°)
1.99526231496887e+002	(2.06725318215262e-001dB,-2.35391652931378e+000°)
2.04173794466952e+002	(2.16950678486240e-001dB,-2.41085068523084e+000°)
2.08929613085403e+002	(2.27666841206903e-001dB,-2.46926591947375e+000°)
2.13796208950222e+002	(2.38897812628686e-001dB,-2.52920836249386e+000°)
2.18776162394954e+002	(2.50668817436762e-001dB,-2.59072612124180e+000°)
2.23872113856832e+002	(2.63006364966072e-001dB,-2.65386939875211e+000°)
2.29086765276776e+002	(2.75938319446845e-001dB,-2.71869062296354e+000°)
2.34422881531991e+002	(2.89493974566587e-001dB,-2.78524458561497e+000°)
2.39883291901947e+002	(3.03704132659949e-001dB,-2.85358859214127e+000°)
2.45470891568501e+002	(3.18601188864455e-001dB,-2.92378262359148e+000°)
2.51188643150956e+002	(3.34219220610100e-001dB,-2.99588951170166e+000°)
2.57039578276885e+002	(3.50594082842682e-001dB,-3.06997512837375e+000°)
2.63026799189536e+002	(3.67763509417212e-001dB,-3.14610859095233e+000°)
2.69153480392690e+002	(3.85767221137368e-001dB,-3.22436248484206e+000°)
2.75422870333815e+002	(4.04647040960580e-001dB,-3.30481310518260e+000°)
2.81838293126443e+002	(4.24447016937345e-001dB,-3.38754071949559e+000°)
2.88403150312659e+002	(4.45213553507294e-001dB,-3.47262985343458e+000°)
2.95120922666637e+002	(4.66995551834784e-001dB,-3.56016960202316e+000°)
3.01995172040200e+002	(4.89844559932840e-001dB,-3.65025396904645e+000°)
3.09029543251357e+002	(5.13814933399850e-001dB,-3.74298223758532e+000°)
3.16227766016836e+002	(5.38964007675474e-001dB,-3.83845937504552e+000°)
3.23593656929626e+002	(5.65352282815335e-001dB,-3.93679647645481e+000°)
3.31131121482589e+002	(5.93043621888029e-001dB,-4.03811125027407e+000°)
3.38844156139200e+002	(6.22105464214295e-001dB,-4.14252855151505e+000°)
3.46736850452529e+002	(6.52609054798455e-001dB,-4.25018096758276e+000°)
3.54813389233573e+002	(6.84629691449784e-001dB,-4.36120946297626e+000°)
3.63078054770099e+002	(7.18246991256070e-001dB,-4.47576408981205e+000°)
3.71535229097170e+002	(7.53545178258580e-001dB,-4.59400477208552e+000°)
3.80189396320558e+002	(7.90613394388484e-001dB,-4.71610217269187e+000°)
3.89045144994278e+002	(8.29546035962795e-001dB,-4.84223865350456e+000°)
3.98107170553494e+002	(8.70443118308749e-001dB,-4.97260934030366e+000°)
4.07380277804110e+002	(9.13410671392237e-001dB,-5.10742330607290e+000°)
4.16869383470332e+002	(9.58561169675602e-001dB,-5.24690488821242e+000°)
4.26579518801589e+002	(1.00601399982805e+000dB,-5.39129515759122e+000°)
4.36515832240163e+002	(1.05589597036657e+000dB,-5.54085356014004e+000°)
4.46683592150960e+002	(1.10834186782592e+000dB,-5.69585975498091e+000°)
4.57088189614872e+002	(1.16349506465189e+000dB,-5.85661567695716e+000°)
4.67735141287195e+002	(1.22150818469722e+000dB,-6.02344785603480e+000°)
4.78630092322635e+002	(1.28254383298720e+000dB,-6.19671003150605e+000°)
4.89778819368443e+002	(1.34677539733017e+000dB,-6.37678610544527e+000°)
5.01187233627268e+002	(1.41438793039703e+000dB,-6.56409348767775e+000°)
5.12861383991361e+002	(1.48557912210754e+000dB,-6.75908689388347e+000°)
5.24807460249769e+002	(1.56056037356769e+000dB,-6.96226266976672e+000°)
5.37031796370249e+002	(1.63955798543669e+000dB,-7.17416372788856e+000°)
5.49540873857620e+002	(1.72281447550166e+000dB,-7.39538520036875e+000°)
5.62341325190345e+002	(1.81059004245182e+000dB,-7.62658093092228e+000°)
5.75439937337152e+002	(1.90316419542607e+000dB,-7.86847095451968e+000°)
5.88843655355584e+002	(2.00083757192320e+000dB,-8.12185014348329e+000°)
6.02559586074353e+002	(2.10393397018775e+000dB,-8.38759823658880e+000°)
6.16595001861477e+002	(2.21280262630499e+000dB,-8.66669151460165e+000°)
6.30957344480188e+002	(2.32782077105437e+000dB,-8.96021644419637e+000°)
6.45654229034650e+002	(2.44939650719488e+000dB,-9.26938568559082e+000°)
6.60693448007591e+002	(2.57797205441039e+000dB,-9.59555695181290e+000°)
6.76082975391976e+002	(2.71402741675428e+000dB,-9.94025532493178e+000°)
6.91830970918931e+002	(2.85808453622381e+000dB,-1.03051997843833e+001°)
7.07945784384132e+002	(3.01071200615917e+000dB,-1.06923348947545e+001°)
7.24435960074984e+002	(3.17253042953429e+000dB,-1.11038688486932e+001°)
7.41310241300911e+002	(3.34421851979505e+000dB,-1.15423193833110e+001°)
7.58577575029177e+002	(3.52652005537708e+000dB,-1.20105695107786e+001°)
7.76247116628685e+002	(3.72025181266168e+000dB,-1.25119355602226e+001°)
7.94328234724275e+002	(3.92631261442280e+000dB,-1.30502507664549e+001°)
8.12830516164092e+002	(4.14569363905527e+000dB,-1.36299686279213e+001°)
8.31763771102664e+002	(4.37949013514919e+000dB,-1.42562915849981e+001°)
8.51138038202369e+002	(4.62891466769933e+000dB,-1.49353323716785e+001°)
8.70963589956073e+002	(4.89531197147288e+000dB,-1.56743178547580e+001°)
8.91250938133738e+002	(5.18017537796350e+000dB,-1.64818485584334e+001°)
9.12010839355902e+002	(5.48516457022360e+000dB,-1.73682317523648e+001°)
9.33254300796983e+002	(5.81212402710493e+000dB,-1.83459124842167e+001°)
9.54992586021428e+002	(6.16310080977104e+000dB,-1.94300359951683e+001°)
9.77237220955802e+002	(6.54035908145434e+000dB,-2.06391875561636e+001°)
9.99999999999991e+002	(6.94638651736113e+000dB,-2.19963731557366e+001°)
1.02329299228075e+003	(7.38388381174348e+000dB,-2.35303280297503e+001°)
1.04712854805089e+003	(7.85572149995894e+000dB,-2.52772706456584e+001°)
1.07151930523760e+003	(8.36483593637192e+000dB,-2.72832560497930e+001°)
1.09647819614318e+003	(8.91401439633388e+000dB,-2.96073158788145e+001°)
1.12201845430195e+003	(9.50548098093165e+000dB,-3.23255745715411e+001°)
1.14815362149687e+003	(1.01401296474365e+001dB,-3.55364242029712e+001°)
1.17489755493952e+003	(1.08161455952123e+001dB,-3.93664271890934e+001°)
1.20226443461740e+003	(1.15266103378007e+001dB,-4.39754449294622e+001°)
1.23026877081237e+003	(1.22555632830523e+001dB,-4.95566621069168e+001°)
1.25892541179416e+003	(1.29721789700914e+001dB,-5.63214334073158e+001°)
1.28824955169312e+003	(1.36240158388578e+001dB,-6.44505317511785e+001°)
1.31825673855640e+003	(1.41339768344088e+001dB,-7.39916687921032e+001°)
1.34896288259164e+003	(1.44109196482701e+001dB,-8.47166577729957e+001°)
1.38038426460287e+003	(1.43816018229412e+001dB,-9.60407700562596e+001°)
1.41253754462274e+003	(1.40295928255865e+001dB,-1.07152716237564e+002°)
1.44543977074591e+003	(1.34056488222700e+001dB,-1.17328009702923e+002°)
1.47910838816819e+003	(1.25982056578382e+001dB,-1.26168322455232e+002°)
1.51356124843619e+003	(1.16943931167995e+001dB,-1.33607598065389e+002°)
1.54881661891247e+003	(1.07593454751107e+001dB,-1.39779848836221e+002°)
1.58489319246110e+003	(9.83419627290899e+000dB,-1.44891351978977e+002°)
1.62181009735891e+003	(8.94198120120943e+000dB,-1.49148006341269e+002°)
1.65958690743754e+003	(8.09418926462748e+000dB,-1.52726939178346e+002°)
1.69824365246173e+003	(7.29560781781414e+000dB,-1.55771049758541e+002°)
1.73780082874936e+003	(6.54739834580663e+000dB,-1.58392538278485e+002°)
1.77827941003891e+003	(5.84891343951842e+000dB,-1.60678779474692e+002°)
1.81970085860997e+003	(5.19873100400772e+000dB,-1.62697973235563e+002°)
1.86208713666285e+003	(4.59523092511414e+000dB,-1.64503822214136e+002°)
1.90546071796323e+003	(4.03691318840239e+000dB,-1.66139182852478e+002°)
1.94984459975803e+003	(3.52257379361143e+000dB,-1.67638854641199e+002°)
1.99526231496886e+003	(3.05140546649268e+000dB,-1.69031709422308e+002°)
2.04173794466951e+003	(2.62306196526519e+000dB,-1.70342341104262e+002°)
2.08929613085402e+003	(2.23770911243417e+000dB,-1.71592383332427e+002°)
2.13796208950221e+003	(1.89607731908853e+000dB,-1.72801614820451e+002°)
2.18776162394953e+003	(1.59952633647026e+000dB,-1.73988954282725e+002°)
2.23872113856832e+003	(1.35013168084186e+000dB,-1.75173441072301e+002°)
